iteracja,id_czastki,x,y,fitness
29,11,6.7536,1.2175,26.4000
29,12,6.6638,1.1826,26.4000
29,13,6.7353,1.4255,26.4000
29,14,6.2934,1.0990,26.4000
29,15,6.4170,1.4290,26.4000
29,16,6.7781,1.0544,26.4000
29,17,6.6899,1.2147,26.4000
29,18,6.5014,1.4376,26.4000
29,19,6.5257,1.1955,26.4000
30,0,6.3173,1.2600,26.4000
30,1,6.6776,1.0655,26.4000
30,2,6.7053,1.2499,26.4000
30,3,6.7774,1.1675,26.4000
30,4,6.2938,1.2286,26.4000
30,5,6.7274,1.2330,26.4000
30,6,6.7976,1.2331,26.4000
30,7,6.7501,1.1270,26.4000
30,8,6.6392,1.2724,26.4000
30,9,6.8805,1.1610,26.4000
30,10,6.6100,1.1932,26.4000
30,11,6.7729,1.2121,26.4000
30,12,6.6626,1.1635,26.4000
30,13,6.7524,1.3999,26.4000
30,14,6.1840,1.1891,26.4000
30,15,6.5148,1.5337,26.4000
30,16,6.7637,1.0676,26.4000
30,17,6.6936,1.2275,26.4000
30,18,6.3996,1.3896,26.4000
30,19,6.7511,1.1874,26.4000
31,0,6.1388,1.2796,26.4000
31,1,6.7491,1.1289,26.4000
31,2,6.5195,1.2633,26.4000
31,3,6.7443,1.1883,26.4000
31,4,6.0737,1.2153,26.4000
31,5,6.7274,1.2330,26.4000
31,6,6.7331,1.2753,26.4000
31,7,6.7967,1.1248,26.4000
31,8,6.6665,1.2963,26.4000
31,9,6.8377,1.1932,26.4000
31,10,6.6873,1.1998,26.4000
31,11,6.7918,1.1980,26.4000
31,12,6.6236,1.1856,26.4000
31,13,6.7553,1.4632,26.4000
31,14,6.6211,1.2612,26.4000
31,15,6.7364,1.4855,26.4000
31,16,6.7664,1.0814,26.4000
31,17,6.7201,1.2347,26.4000
31,18,6.5279,1.3775,26.4000
31,19,6.5277,1.1837,26.4000
32,0,6.3765,1.2390,26.4000
32,1,6.3766,1.1769,26.4000
32,2,6.4732,1.2753,26.4000
32,3,6.8279,1.1944,26.4000
32,4,6.3669,1.2051,26.4000
32,5,6.7274,1.2330,26.4000
32,6,6.7940,1.2708,26.4000
32,7,6.7543,1.1343,26.4000
32,8,6.6485,1.2868,26.4000
32,9,6.8166,1.1887,26.4000
32,10,6.6060,1.2012,26.4000
32,11,6.8097,1.1967,26.4000
32,12,6.6189,1.2190,26.4000
32,13,6.7558,1.2946,26.4000
32,14,6.6049,1.1314,26.4000
32,15,6.7561,1.3023,26.4000
32,16,6.7490,1.1141,26.4000
32,17,6.6705,1.2203,26.4000
32,18,6.6162,1.3806,26.4000
32,19,6.4876,1.1933,26.4000
33,0,6.3422,1.2239,26.4000
33,1,6.2953,1.2361,26.4000
33,2,6.5131,1.2603,26.4000
33,3,6.8991,1.1817,26.4000
33,4,6.4910,1.2172,26.4000
33,5,6.7274,1.2330,26.4000
33,6,6.8664,1.2519,26.4000
33,7,6.7622,1.1069,26.4000
33,8,6.5476,1.2781,26.4000
33,9,6.8046,1.1612,26.4000
33,10,6.6414,1.2102,26.4000
33,11,6.8149,1.2239,26.4000
33,12,6.6073,1.2075,26.4000
33,13,6.7529,1.2366,26.4000
33,14,6.6090,1.0519,26.4000
33,15,6.6356,1.4675,26.4000
33,16,6.8568,1.1194,26.4000
33,17,6.6642,1.2115,26.4000
33,18,6.4567,1.4288,26.4000
33,19,6.4970,1.1939,26.4000
34,0,6.1936,1.2537,26.4000
34,1,6.6161,1.1868,26.4000
34,2,6.4506,1.2695,26.4000
34,3,6.8343,1.1662,26.4000
34,4,6.5306,1.2121,26.4000
34,5,6.7274,1.2330,26.4000
34,6,6.8011,1.2341,26.4000
34,7,6.7629,1.1749,26.4000
34,8,6.5959,1.2350,26.4000
34,9,6.8081,1.1696,26.4000
34,10,6.5913,1.2111,26.4000
